	created_at	conversation_id	text	edit_history_tweet_ids	reply_settings	referenced_tweets	lang	id	in_reply_to_user_id	author_id	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.quote_count	public_metrics.impression_count
37	2023-03-06T11:58:46.000Z	1632477328419835906	@Leecald63773367 @RepAdamSchiff @davidmweissman MAGAs are the freakiest of freaks and whiniest pansies. That’s all MAGA freaks do is cry and play the victim.	['1632712322413125634']	everyone	[{'type': 'replied_to', 'id': '1632710600546480129'}]	en	1632712322413125634	950700166885060608	737018592328359937	0	1	0	0	12
38	2023-03-06T11:58:43.000Z	1632712307657658369	RT @MartyTa94849826: Jack Smith will be the man who saves American Democracy from Trumps fascists takeover. I feel confident he will recomm…	['1632712307657658369']	everyone	[{'type': 'retweeted', 'id': '1632430493537902595'}]	en	1632712307657658369		750344627635515392	75	0	0	0	0
39	2023-03-06T11:58:42.000Z	1632131953662078977	"@Matthewmarkey @nintendomad888 @Plaid_Cymru These are not comparable and is a little laughable. 
Waving the ""British flag"" and stamping out individual identities, with a slogan holding MAGA connotations - xenophobic, as Ill-informed as the logo, blind to history- connotations. 
1/2"	['1632712305652670465']	everyone	[{'type': 'replied_to', 'id': '1632663529672126464'}]	en	1632712305652670465	28976190	351864322	0	1	0	0	12
40	2023-03-06T11:58:39.000Z	1632712292012785664	Good morning MAGA ✝️🇺🇲🇺🇲 Monday ☕☕🙏🇺🇲 Hope a good weekend was had by all🤗❤️🇺🇲🙏 37°☀️here in central NJ, going to a high of 54°⛅🌴To all my ♥️ Patriots 🇺🇸🙏 blessed week ahead 🙏 continued♥️🙏 Blessings 🌴Spring 🤗💐 will be here in 14 days🤗🌴♥️🌹🌺♥️🇺🇸♥️🇺🇸 Summer 2022👇👇 https://t.co/OtH06zVOtL	['1632712292012785664']	everyone		en	1632712292012785664		1557532513421099011	1	0	0	1	133
41	2023-03-06T11:58:37.000Z	1632712285557850112	"RT @RepJeffries: President Biden will release his budget this week.

Why are MAGA Republicans hiding their extreme plans from the American…"	['1632712285557850112']	everyone	[{'type': 'retweeted', 'id': '1632366347404312578'}]	en	1632712285557850112		1611107917498834947	1444	0	0	0	0
42	2023-03-06T11:58:35.000Z	1632712273755271169	RT @WinterAsh12: The creator of the Twilight Zone, Rod Serling, was an early and outspoken critic of censorship. In 1959, he describes with…	['1632712273755271169']	everyone	[{'type': 'retweeted', 'id': '1632696716850806785'}]	en	1632712273755271169		1355039402230046725	35	0	0	0	0
43	2023-03-06T11:58:33.000Z	1632712269149753344	"RT @POTUS: Nearly 25% of the entire national debt – that took 200 years to accumulate – was added by the last Administration.

Meanwhile, w…"	['1632712269149753344']	everyone	[{'type': 'retweeted', 'id': '1632410644161994754'}]	en	1632712269149753344		489830841	10539	0	0	0	0
44	2023-03-06T11:58:31.000Z	1632712260580970499	"RT @RepJeffries: President Biden will release his budget this week.

Why are MAGA Republicans hiding their extreme plans from the American…"	['1632712260580970499']	everyone	[{'type': 'retweeted', 'id': '1632366347404312578'}]	en	1632712260580970499		1567628843133063168	1444	0	0	0	0
45	2023-03-06T11:58:24.000Z	1632712228725047297	"RT @JamesTate121: Dear MAGA,

 Curly Howard, Milton Berle, Tony Curtis and Jack Lemmon, Elmer Fudd, Bugs Bunny, Flip Wilson, Tom Hanks and…"	['1632712228725047297']	everyone	[{'type': 'retweeted', 'id': '1632480584462155777'}]	en	1632712228725047297		33420125	182	0	0	0	0
46	2023-03-06T11:58:23.000Z	1632712223750516740	RT @ZaleskiLuke: Trump was the attack. He’s Putin’s human malware and he’s literally dividing and conquering America. Have a nice national…	['1632712223750516740']	everyone	[{'type': 'retweeted', 'id': '1632711175161954306'}]	en	1632712223750516740		1473724537158213635	68	0	0	0	0
47	2023-03-06T11:58:20.000Z	1632706370288877571	"@accordingtowoz Good Morning Woz

I know I don’t say it often but thank you for the help you have given me along the way.

There I said it. No, no hugs.

All joking aside, one of the best things a new Mega or Patriot account can do is, follow you.

Thank you Woz

MAGA Baby 💯❤️🩸🇺🇸 https://t.co/s9Lu8WwqNJ"	['1632712212379779072']	everyone	[{'type': 'replied_to', 'id': '1632706370288877571'}]	en	1632712212379779072	1402782391652003844	1349245462306562050	0	2	4	0	97
48	2023-03-06T11:58:19.000Z	1632455136332087297	@AJDelgado13 Wait till you see the maga posts	['1632712209309597696']	everyone	[{'type': 'replied_to', 'id': '1632455136332087297'}]	en	1632712209309597696	266894776	1024780729	0	0	0	0	27
49	2023-03-06T11:58:17.000Z	1632712198845001728	RT @MartyTa94849826: CPAC passed out Trump Russian flags . No longer is the discussion over the war in Ukraine about will we fund Ukraine o…	['1632712198845001728']	everyone	[{'type': 'retweeted', 'id': '1632584494405304320'}]	en	1632712198845001728		1531472157519122432	1670	0	0	0	0
50	2023-03-06T11:58:15.000Z	1632712193597755393	The fun part about taking a flight to SF is seeing the Leftists with their N95 masks suction cupped to their faces as they furiously wipe down every surface with an alcohol wipe. The mask is the #MAGA hat of the Leftist. Imbeciles.	['1632712193597755393']	everyone		en	1632712193597755393		1468022550873534471	0	1	0	0	47
51	2023-03-06T11:58:15.000Z	1632712191110524928	"RT @oddemann: After the 3rd train derailment in Ohio in a few weeks the MAGA Republicans are awfully silent

Waiting for their masters to a…"	['1632712191110524928']	everyone	[{'type': 'retweeted', 'id': '1632464324726775810'}]	en	1632712191110524928		1227574951772815361	33	0	0	0	0
52	2023-03-06T11:58:11.000Z	1632712173947371520	"RT @namwella1961: I wasn't familiar with Jamie Raskin until the impeachment trials, but he impressed me.

He impressed me more during the J…"	['1632712173947371520']	everyone	[{'type': 'retweeted', 'id': '1632063677703618561'}]	en	1632712173947371520		1611107917498834947	1397	0	0	0	0
53	2023-03-06T11:58:11.000Z	1632712173234339840	RT @VaultedPolitics: Jamie Raskin is owning MAGA Republicans all while undergoing cancer treatment on a daily basis. He’s a true hero! Drop…	['1632712173234339840']	everyone	[{'type': 'retweeted', 'id': '1632116625943011330'}]	en	1632712173234339840		1274385134435917824	1471	0	0	0	0
54	2023-03-06T11:58:10.000Z	1631639678339420161	@nyetengale Yet another to add to the ever growing list of companies that can kiss my ultra MAGA unvaccinated ASS!	['1632712171497955328']	everyone	[{'type': 'replied_to', 'id': '1631639678339420161'}]	en	1632712171497955328	22036446	1588881509473292289	0	0	0	0	1
55	2023-03-06T11:58:07.000Z	1632712160173256705	"RT @MartyTa94849826: Matt Gaetz did not say at CPAC he wanted the DOJ,FBI and others to treat both parties equally. He said they must ""come…"	['1632712160173256705']	everyone	[{'type': 'retweeted', 'id': '1632566833474682881'}]	en	1632712160173256705		1056716616	390	0	0	0	0
56	2023-03-06T11:58:07.000Z	1632530512353931264	@BillKristol If you want see how far someone can fall. Check out @MariaBartiromo career. At one time a very perceptive Wall st  journalist with market insights. Now a babbling MAGA where truth is questionable.	['1632712159875547136']	everyone	[{'type': 'replied_to', 'id': '1632530512353931264'}]	en	1632712159875547136	2800581040	1235509674914598912	0	0	0	0	7
57	2023-03-06T11:58:06.000Z	1632712152522924032	RT @Chicago1Ray: When Tucker releases the footage of (1-6) it'll surely show this image of Ray Epps and John Sullivan on the night of (1-5)…	['1632712152522924032']	everyone	[{'type': 'retweeted', 'id': '1630703798543843328'}]	en	1632712152522924032		754691589583335425	249	0	0	0	0
58	2023-03-06T11:58:05.000Z	1632712149935046657	"RT @lance_cotten: G.M. ☀️ it's Monday
#Blueparty people 💙
It’s A FB PARTY 🥳
🚫MAGA Allowed
Meet new friends 

🚨Follow @Forgetfulness19 

Par…"	['1632712149935046657']	everyone	[{'type': 'retweeted', 'id': '1632683764869480449'}]	en	1632712149935046657		2236983040	272	0	0	0	0
59	2023-03-06T11:58:04.000Z	1632712144553902081	RT @BrianRadfordAZ: Good morning 😃 ☕ to all voting blue in 24 because MAGA GOP is too extreme. True freedom and liberty 🗽 doesn't ban books…	['1632712144553902081']	everyone	[{'type': 'retweeted', 'id': '1632373975048396807'}]	en	1632712144553902081		1205733589716852738	16	0	0	0	0
