	reply_settings	id	lang	text	conversation_id	author_id	referenced_tweets	edit_history_tweet_ids	created_at	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.quote_count	public_metrics.impression_count	in_reply_to_user_id	geo.place_id	withheld.copyright	withheld.country_codes
43	everyone	1633676671923650560	en	Russia does not seek direct conflict with US and NATO, intelligence reports reveal https://t.co/pIFhjx4izN	1633676671923650560	1607014396181741573		['1633676671923650560']	2023-03-09T03:50:45.000Z	0	0	0	0	0				
44	everyone	1633676670266933248	en	"RT @visegrad24: BREAKING: 

A few minutes ago, Russia fired an additional wave of cruise missiles from the Black Sea over Moldovan air spac…"	1633676670266933248	1609928089	[{'type': 'retweeted', 'id': '1633643958138970113'}]	['1633676670266933248']	2023-03-09T03:50:45.000Z	982	0	0	0	0				
45	everyone	1633676669989928961	en	@MarkGerretsen Government with control over what citizens can say is actually alot like North Korea, China and Stalinist Russia.	1633613076489547777	1599455658935468032	[{'type': 'replied_to', 'id': '1633613076489547777'}]	['1633676669989928961']	2023-03-09T03:50:45.000Z	0	0	0	0	0	157152601			
46	everyone	1633676669289484292	en	@ArthurM40330824 Watch the whole video Zelenskyy was talking about Russia attacking a NATO country in that event NATO sons and daughters would be involved. MSM is a hell of a drug.	1633541117776912412	1374846151472644103	[{'type': 'replied_to', 'id': '1633541117776912412'}]	['1633676669289484292']	2023-03-09T03:50:44.000Z	0	0	0	0	0	1310028784284979200			
47	everyone	1633676667825664005	en	"@IsleyResistance Russia is winning. Biden is a disaster. The economy is crashing. Everything is falling apart.

It's no wonder they're pushing the narrative back to J6. McCarthy ""released"" footage this week for a reason. It's a distraction."	1633676183023013890	1554091174163632135	[{'type': 'replied_to', 'id': '1633676183023013890'}]	['1633676667825664005']	2023-03-09T03:50:44.000Z	0	0	0	0	0	798649860664659968			
48	everyone	1633676667389636608	en	RT @sahouraxo: Israel drops bombs on Aleppo International Airport, stopping planes carrying aid for earthquake victims from landing in the…	1633676667389636608	1290410500485001221	[{'type': 'retweeted', 'id': '1633568365967974401'}]	['1633676667389636608']	2023-03-09T03:50:44.000Z	1578	0	0	0	0				
49	everyone	1633676666554679296	en	@loklviento @visegrad24 I understand the report and I can see it in certain situations. But it won’t apply to today’s conflict with Russia. Russia is at war… w/all their former Soviet states that want to be independent from them. They won’t fell bad either, look at Bakhmut and AIeppo.	1633656375061389312	754804362749341696	[{'type': 'replied_to', 'id': '1633675571505909763'}]	['1633676666554679296']	2023-03-09T03:50:44.000Z	0	0	0	0	0	566023700			
50	everyone	1633676665636245505	en	so many causalities to a dumb war. my heart goes out to everyone in ukraine, and those in russia forced to fight.	1633676665636245505	1079277145002835968		['1633676665636245505']	2023-03-09T03:50:43.000Z	0	0	0	0	4				
51	everyone	1633676665241890816	en	"https://t.co/sL4jsy2zbL
Huh? Don't matter when! Get em!"	1633676665241890816	1633516362290143235		['1633676665241890816']	2023-03-09T03:50:43.000Z	0	0	0	0	0				
52	everyone	1633676664927555585	en	RT @jimmy_dore: While you scream about Russia invading Ukraine, remember United States illegally invaded Syria &amp; is CURRENTLY occupying 1/3…	1633676664927555585	1569550014539767810	[{'type': 'retweeted', 'id': '1633655341346074624'}]	['1633676664927555585']	2023-03-09T03:50:43.000Z	391	0	0	0	0				
53	everyone	1633676661043630081	en	“Possible that munition trades with Iran might have embolden Russia to utilize a large quantity of their cruise missile stockpile.” https://t.co/4LKhnltisT	1633676661043630081	1219492312620752897	[{'type': 'quoted', 'id': '1633675681316974594'}]	['1633676661043630081']	2023-03-09T03:50:42.000Z	0	0	0	0	0				
54	everyone	1633676658703048706	en	@CharlesTannock @KShoshiashvili that's only the leninist  faction wich Putin are the real container from that, the leninist zarist jew faction tha had or can be infiltrated by the other faction of bad jew from vladimir zirinosky lines. liberals. @mfa_russia	1633520260597915655	1183932315711524864	[{'type': 'replied_to', 'id': '1633540473506652175'}]	['1633676658703048706']	2023-03-09T03:50:42.000Z	0	0	0	0	0	914281548			
55	everyone	1633676652323430401	en	God Bless President Reagan. 40 year anniversary today when the President spoke of Russia, THE EVIL EMPIRE SPEECH! It was incredibly effective. The Soviet Union soon became a zero. God Bless you dear President Reagan. We will always be grateful for your service 🙏👍🐘	1633676652323430401	1480891857769017351		['1633676652323430401']	2023-03-09T03:50:40.000Z	0	0	0	0	0		011add077f4d2da3		
