	author_id	username	author_followers	author_tweets	author_description	author_location	text	created_at	retweets	replies	likes	quote_count
1257	1181459419344695298	mchan76483165	473	69801			"@speechboy71 u can now write abt Biden who plagiarised at school, called blacks predators, drafted crime bill to put them in jail, uses his son as a bag man to collect money fr Ukraine n China...
n vp Harris, how she failed law exams, started her career by 1st becoming a mistress..."	2021-01-20 20:23:51+00:00	0	0	0	0
1258	835901533208338434	soundbytte	261	34060	Read read read and golf	Benoni, South Africa	@News24 @BISouthAfrica She must be an ANC member- advising Hunter on how to steal from the Ukraine and China.	2021-01-20 20:23:47+00:00	0	0	1	0
1259	1035265343764262912	ethnic_mr	12	160	Pain	Bulgarian Kingdom USA	@RAZ0RFIST Would have put Ukraine	2021-01-20 20:23:25+00:00	0	0	1	0
1260	1276190084098859011	subjectio_relay	21	129871	#subjectio exposes the working of propaganda and geopolitical reality in 🇺🇦 🇲🇩 🇧🇾  🇧🇦 🇲🇪 🇲🇰 🇽🇰  🇷🇸		"@HumanistReport Subjectio’s video-interviews give a voice to local actors in Belarus, Ukraine, Transnistria, North-Macedonia, Kosovo, Montenegro, Bosnia and Herzegovina:

https://t.co/2iUiNIhymg

@subjectio2020 #subjectio https://t.co/JpgrlGJW2n"	2021-01-20 20:23:23+00:00	0	0	0	0
1261	1498928005	GunterFehlinger	8709	118919	Chairman Austria NGO Montenegro goes EUrope, Association for EU membership of Montenegro, Chair of Austrian Committee for NATO Enlargement for Kosovo, Ukr, BiH	In NATO Europe I feel at home 	"@JustinTrudeau @cafreeland can you help please?
UK, EU, EFTA, CEFTA - Free Europe - your Allies in NATO
We Europeans want a FTA with @POTUS 
Canada you have FTA with USA, Mexico, UK, EU, EFTA, CEFTA, Ukraine can you please help your Allies @NATO to get this done now? @vonderleyen https://t.co/7VJyKn1kVO"	2021-01-20 20:22:43+00:00	0	0	2	0
1262	1150625255968268288	scott_ensley	491	26651	Unusual projects, off-grid vehicle conversion, robotics, AI, microcontrollers, Elon companies, hiker.	Spinning planet-shaped object	@RichardGrenell @JoeBiden But he will year the country apart not make it stronger though. You don’t see this after the billion dollar Bribe to Ukraine?	2021-01-20 20:22:12+00:00	0	0	0	0
1263	1058374174694096896	InsiderDonbass	17318	2081	Twitter account of the Donbass Insider website. Information and analysis about Donbass, Russia and Ukraine.	Donetsk	#Ukraine Language patrol in Wehrmacht uniform: Nationalists threaten a Jewish food shop in Odessa https://t.co/zgPSHiaObL	2021-01-20 20:22:11+00:00	29	1	26	1
1264	1276190084098859011	subjectio_relay	21	129871	#subjectio exposes the working of propaganda and geopolitical reality in 🇺🇦 🇲🇩 🇧🇾  🇧🇦 🇲🇪 🇲🇰 🇽🇰  🇷🇸		"@arm_rest @luv2prz23 @davidshepardson @brianefallon @JoeBiden Subjectio’s video-interviews give a voice to local actors in Belarus, Ukraine, Transnistria, North-Macedonia, Kosovo, Montenegro, Bosnia and Herzegovina:

https://t.co/2iUiNIhymg

@subjectio2020 #subjectio https://t.co/s9rPyGIS8Z"	2021-01-20 20:22:09+00:00	0	0	0	0
1265	1201555992544071680	Flem_Meister	7	1392	on twitter to scream at things sometimes	California, USA	@RockRazorbacks @TerjeCS Put his actual children in cabinet positions, put other children in cages, built a useless wall that doesn't protect shit, rushed  SC candidate during the month before election, the Ukraine call is a thing, tax cuts to the rich and no help to the working class lile he promised	2021-01-20 20:22:05+00:00	0	4	28	0
1266	1350491801849901063	lynn95494368	0	202	Conservative		@KTMcCormick2 @CNN Bribery and extortion are crimes. Bribed GA voters with his you vote Dems in GA He would send them 2000 and Ukraine.  Impeach 46 https://t.co/5UwYtOCsqD	2021-01-20 20:22:04+00:00	0	0	0	0
