	id	conversation_id	text	edit_history_tweet_ids	reply_settings	author_id	lang	referenced_tweets	created_at	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.quote_count	public_metrics.impression_count	in_reply_to_user_id	withheld.copyright	withheld.country_codes	geo.place_id
3927	1633874295956066307	1633874295956066307	"Horrible Attack! Ukraine War Video Footage, Russian Wagner Army in the battle at Bakhmut, Drones
#Ukraine  #Bakhmut  #Donbas  #Germany #Canada
https://t.co/a09aFrRQSY"	['1633874295956066307']	everyone	1474478337217204234	en		2023-03-09T16:56:02.000Z	0	0	0	0	133				
3928	1633874293569523712	1633874293569523712	RT @DagnyTaggart963: ❗️NATO plans to enter into direct war with Russia in the spring and help the Armed Forces of Ukraine attack Crimea - A…	['1633874293569523712']	everyone	1582543937780449280	en	[{'type': 'retweeted', 'id': '1633833246151831552'}]	2023-03-09T16:56:02.000Z	34	0	0	0	0				
3929	1633874293032382464	1633874293032382464	"RT @dom_lucre: On February 28, 2022, Russian Economist Valentin Katasonov: 

“America Besieged Russia By Placing Bio-Labs In Surrounding Co…"	['1633874293032382464']	everyone	1265402770468884482	en	[{'type': 'retweeted', 'id': '1633670000396435461'}]	2023-03-09T16:56:02.000Z	543	0	0	0	0				
3930	1633874291900166144	1633874291900166144	RT @sahouraxo: Israel drops bombs on Aleppo International Airport, stopping planes carrying aid for earthquake victims from landing in the…	['1633874291900166144']	everyone	3585685214	en	[{'type': 'retweeted', 'id': '1633568365967974401'}]	2023-03-09T16:56:01.000Z	3718	0	0	0	0				
3931	1633874291195518976	1633874291195518976	"RT @GraphicW5: The secret of the operation of the psych army of the Armed Forces of Ukraine ""in the Kursk region"" has been revealed:

Foota…"	['1633874291195518976']	everyone	1587167373097766913	en	[{'type': 'retweeted', 'id': '1633872291732791296'}]	2023-03-09T16:56:01.000Z	5	0	0	0	0				
3932	1633874290293522432	1633874290293522432	Russian Foreign Ministry: The construction of Poland's military center in Ukraine will draw Warsaw into the conflict	['1633874290293522432']	everyone	478951903	en		2023-03-09T16:56:01.000Z	0	0	0	0	4				
3933	1633874290230857729	1633874290230857729	RT @KelemenCari: Merrick Garland goes to Ukraine and, son-of-a-b*tch, Ukraine has a new prosecutor. Again.	['1633874290230857729']	everyone	424321046	en	[{'type': 'retweeted', 'id': '1633873573910835200'}]	2023-03-09T16:56:01.000Z	41	0	0	0	0				
3934	1633874289832390657	1633874289832390657	RT @ettingermentum: BREAKING: President Biden has sent the Orb to Ukraine https://t.co/jR7c0d6Oq4	['1633874289832390657']	everyone	889277758840426497	en	[{'type': 'retweeted', 'id': '1633639275173478400'}]	2023-03-09T16:56:01.000Z	832	0	0	0	0				
3935	1633874289077415936	1633874289077415936	RT @GlasnostGone: Nightmare of living in occupied #Ukraine. To solve administrative, pensions, financial, health &amp; other problems, citizens…	['1633874289077415936']	everyone	1178751075479937024	en	[{'type': 'retweeted', 'id': '1633842740105715713'}]	2023-03-09T16:56:01.000Z	15	0	0	0	0				
3936	1633874288884187137	1633874288884187137	RT @ben_ariah: While we're waiting on the western tanks to be put in service here in Ukraine, it's up to the man on the ground to level the…	['1633874288884187137']	everyone	1598749244730523649	en	[{'type': 'retweeted', 'id': '1633701799176593408'}]	2023-03-09T16:56:01.000Z	69	0	0	0	0				
